Run	Num W	Num R	JSD	Same states
FOXA2_TCF7L2_del	10	6	0.9999999999999998	False
FOXA2_TCF7L2_change	10	6	0.9999999999999998	False
FOXA2_TCF12_del	10	6	1.0	False
FOXA2_TCF12_change	10	6	0.9999999999999998	False
FOXA2_CBFA2T2_del	10	6	0.9999999999999998	False
FOXA2_CBFA2T2_change	10	6	1.0	False
FOXA2_ATF2_del	10	6	0.9999999999999998	False
FOXA2_ATF2_change	10	6	0.9999999999999998	False
KLF4_ELF3_del	10	6	0.9999999999999998	False
KLF4_ELF3_change	10	6	0.9999999999999998	False
KLF4_REST_del	10	6	0.9999999999999998	False
KLF4_REST_change	10	6	0.9999999999999998	False
KLF4_ATF2_del	10	6	0.9999999999999998	False
KLF4_ATF2_change	10	6	0.9999999999999998	False
MYC_ETS2_del	10	8	0.9999999999999998	False
MYC_ETS2_change	10	6	0.9999999999999998	False
MYC_TEAD4_del	10	6	0.9999999999999998	False
MYC_TEAD4_change	10	6	0.9999999999999998	False
MYC_MITF_del	10	6	0.9999999999999998	False
MYC_MITF_change	10	6	0.9999999999999998	False
MYC_SOX2_del	10	6	0.9999999999999998	False
MYC_SOX2_change	10	6	1.0	False
MYC_POU3F2_del	10	6	0.9999999999999998	False
MYC_POU3F2_change	10	6	0.9999999999999998	False
MYC_TCF7L2_del	10	10	0.9999999999999998	False
MYC_TCF7L2_change	10	9	0.9999999999999998	False
REST_INSM1_del	10	10	0.9999999999999998	False
REST_INSM1_change	10	8	0.9999999999999998	False
REST_FOXA2_del	10	10	0.9999999999999998	False
REST_FOXA2_change	10	20	1.0	False
REST_SMAD3_del	10	4	0.9999999999999998	False
REST_SMAD3_change	10	4	0.9999999999999998	False
REST_PAX5_del	10	4	1.0	False
REST_PAX5_change	10	5	1.0	False
REST_NEUROD1_del	10	4	0.9999999999999998	False
REST_NEUROD1_change	10	6	0.9999999999999998	False
REST_POU3F2_del	10	6	0.9999999999999998	False
REST_POU3F2_change	10	6	0.9999999999999998	False
REST_NFKB1_del	10	6	1.0	False
REST_NFKB1_change	10	7	0.9999999999999998	False
REST_TCF4_del	10	364406	0.952672028579924	False
REST_TCF4_change	10	378313	0.9577636427278976	False
TCF7L2_LEF1_del	10	336685	0.967418715688803	False
TCF7L2_LEF1_change	10	348214	0.9580761281779283	False
TCF7L2_PBX1_del	10	355363	0.9573222637614269	False
TCF7L2_PBX1_change	10	352706	0.9559974063842928	False
TCF7L2_TCF4_del	10	368057	0.9739630630132047	False
TCF7L2_TCF4_change	10	362451	0.9805139478198087	False
MYC_ELF3_del	10	367585	0.9797794959625442	False
MYC_ELF3_change	10	385537	0.9793802476126267	False
MYC_FOXA1_del	10	445888	0.9736696225832022	False
MYC_FOXA1_change	10	86543	0.9987794356907425	False
MYC_REST_del	10	566758	0.9603765904100973	False
MYC_REST_change	10	553156	0.9707048923203142	False
MYC_TCF4_del	10	583759	0.978322167197365	False
MYC_TCF4_change	10	592306	0.9805579182902016	False
MYC_MYB_del	10	591924	0.9802880658217732	False
MYC_MYB_change	10	617662	0.9780302338879083	False
MYC_KLF4_del	10	573883	0.9805606750198259	False
MYC_KLF4_change	10	568931	0.9826993872298732	False
MYC_ATF2_del	10	603716	0.9812150360642373	False
MYC_ATF2_change	10	613298	0.9819072850672405	False
KDM5B_FOXA2_del	10	618387	0.9842095662912235	False
KDM5B_FOXA2_change	10	588914	0.9890022673881449	False
KDM5B_FOXA1_del	10	612288	0.9881861851612662	False
KDM5B_FOXA1_change	10	619878	0.9886531002538496	False
KDM5B_PAX5_del	10	623080	0.9896921677541094	False
KDM5B_PAX5_change	10	622425	0.9906886750707661	False
KDM5B_LEF1_del	10	644153	0.9902483444960027	False
KDM5B_LEF1_change	10	673278	0.9929858841169089	False
KDM5B_POU3F2_del	10	688411	0.9923895378323163	False
KDM5B_POU3F2_change	10	713587	0.9926737536749766	False
KDM5B_REST_del	10	701906	0.9928945376366084	False
KDM5B_REST_change	10	49070	0.9999382590169456	False
KDM5B_CBFA2T2_del	10	55827	0.999952645316944	False
KDM5B_CBFA2T2_change	10	69727	0.9999007117477585	False
KDM5B_ATF2_del	10	95462	0.9999329805317296	False
KDM5B_ATF2_change	10	119255	0.9999324320463356	False
CEBPD_BHLHE40_del	10	115938	0.9998897260188697	False
CEBPD_BHLHE40_change	10	117377	0.9998899389051975	False
CEBPD_TCF7L2_del	10	113092	0.9998104684030086	False
CEBPD_TCF7L2_change	10	82564	0.9998680997042034	False
CEBPD_KLF4_del	10	73437	0.9999207488382426	False
CEBPD_KLF4_change	10	701724	0.9903484261508667	False
POU3F2_FOXA1_del	10	703829	0.9904499695001844	False
POU3F2_FOXA1_change	10	685719	0.992177952627836	False
POU3F2_MITF_del	10	66372	0.9999021653984228	False
POU3F2_MITF_change	10	52618	0.9999064901669228	False
POU3F2_SOX2_del	10	185660	0.9997388757123271	False
POU3F2_SOX2_change	10	643472	0.9943273353515699	False
POU3F2_TCF12_del	10	642145	0.9951884522816657	False
POU3F2_TCF12_change	10	640188	0.99534978547039	False
POU3F2_ATF2_del	10	636629	0.9953699957244436	False
POU3F2_ATF2_change	10	533191	0.9983724994481781	False
MYC_INSM1_del	10	530303	0.9988439782143161	False
MYC_INSM1_change	10	528101	0.9991431997613958	False
PBX1_ASCL1_del	10	540812	0.9991054655705914	False
PBX1_ASCL1_change	10	548952	0.9986014392337325	False
PBX1_FOXA1_del	10	542116	0.9992071778525492	False
PBX1_FOXA1_change	10	520845	0.999276279509012	False
PBX1_TEAD4_del	10	515765	0.9995036755459503	False
PBX1_TEAD4_change	10	746599	0.9972552472738107	False
PBX1_MITF_del	10	749869	0.996717198992034	False
PBX1_MITF_change	10	768406	0.9970293247838999	False
PBX1_TCF7L2_del	10	763589	0.9956114266609621	False
PBX1_TCF7L2_change	10	779802	0.9958129302008734	False
SOX11_PAX5_del	10	779333	0.9970401683153625	False
SOX11_PAX5_change	10	778920	0.9987273105775806	False
SOX11_NEUROD1_del	10	777478	0.9976425145190652	False
SOX11_NEUROD1_change	10	776892	0.9981017622693825	False
SOX11_KLF4_del	10	777091	0.9984574231347588	False
SOX11_KLF4_change	10	797627	0.9979449255515204	False
FLI1_FOXA2_del	10	785583	0.9992486754485473	False
FLI1_FOXA2_change	10	760153	0.9989894987677566	False
FLI1_ETS2_del	10	764458	0.9988653819218426	False
FLI1_ETS2_change	10	788636	0.9989249853983191	False
FLI1_NFKB1_del	10	815404	0.9991550451754284	False
FLI1_NFKB1_change	10	815466	0.9978785034542644	False
FLI1_PBX1_del	10	816184	0.9983231017441458	False
FLI1_PBX1_change	10	792785	0.9994106249207946	False
FLI1_MYB_del	10	786797	0.9996080503786549	False
FLI1_MYB_change	10	780534	0.9994552832319202	False
FLI1_KDM5B_del	10	783038	0.9988474027407457	False
FLI1_KDM5B_change	10	793409	0.9989319292319098	False
REST_LEF1_del	10	775067	0.9997359556940133	False
REST_LEF1_change	10	773337	0.9998790204276999	False
TEAD4_ETS2_del	10	763712	0.9998010025368613	False
TEAD4_ETS2_change	10	786003	0.9994238068639213	False
TEAD4_PBX1_del	10	771679	0.9997747871793097	False
TEAD4_PBX1_change	10	732206	0.9999999999999998	False
TEAD4_TCF4_del	10	724450	0.9999999999999998	False
TEAD4_TCF4_change	10	640587	0.999955517345021	False
TEAD4_MYB_del	10	363285	0.9999999999999998	False
TEAD4_MYB_change	10	251972	0.9999871384936693	False
TEAD4_TCF7L2_del	10	270974	0.9999999999999998	False
TEAD4_TCF7L2_change	10	675689	0.9999999999999998	False
TEAD4_ATF2_del	10	690539	0.9999999999999998	False
TEAD4_ATF2_change	10	691672	0.9999999999999998	False
TCF4_SOX11_del	10	678092	0.9999999999999996	False
TCF4_SOX11_change	10	679442	1.0	False
SOX2_PAX5_del	10	705298	0.9999999999999998	False
SOX2_PAX5_change	10	817425	0.9999999999999998	False
SOX2_PBX1_del	10	824989	0.9996733564540949	False
SOX2_PBX1_change	10	826507	0.9999999999999998	False
KLF4_SMAD3_del	10	815677	0.999709746902757	False
KLF4_SMAD3_change	10	780670	0.9994281794379842	False
KLF4_TCF4_del	10	786186	1.0	False
KLF4_TCF4_change	10	764175	0.9999999999999998	False
TCF4_ETS2_del	10	752189	1.0	False
TCF4_ETS2_change	10	753126	0.9999999999999998	False
TCF4_MITF_del	10	705058	0.9998834073338682	False
TCF4_MITF_change	10	699791	0.9999999999999998	False
TCF4_PAX5_del	10	698475	0.9999999999999996	False
TCF4_PAX5_change	10	702129	1.0	False
TCF4_REST_del	10	678875	0.9999999999999998	False
TCF4_REST_change	10	513653	0.9999999999999998	False
TCF4_MYB_del	10	474403	0.9999999999999998	False
TCF4_MYB_change	10	465278	0.9999999999999998	False
TCF4_TCF7L2_del	10	419795	1.0	False
TCF4_TCF7L2_change	10	394450	0.9999999999999998	False
TCF4_TCF3_del	10	506137	0.9999999999999998	False
TCF4_TCF3_change	10	500956	0.9999999999999998	False
TCF4_CBFA2T2_del	10	495876	0.9999999999999998	False
TCF4_CBFA2T2_change	10	13501	0.9999999999999998	False
MITF_ELF3_del	10	14791	0.9999999999999996	False
MITF_ELF3_change	10	495117	0.9999999999999998	False
MITF_SMAD3_del	10	482756	1.0	False
MITF_SMAD3_change	10	410916	0.9999999999999998	False
MITF_LEF1_del	10	238240	1.0	False
MITF_LEF1_change	10	272315	0.9999999999999998	False
MITF_NFKB1_del	10	272100	1.0	False
MITF_NFKB1_change	10	203389	0.9999999999999998	False
MITF_TCF7L2_del	10	201628	0.9999999999999998	False
MITF_TCF7L2_change	10	203983	0.9999999999999998	False
MITF_CBFA2T2_del	10	177498	0.9999999999999998	False
MITF_CBFA2T2_change	10	173463	0.9999999999999998	False
MITF_ATF2_del	10	196225	0.9999999999999998	False
MITF_ATF2_change	10	219328	0.9999999999999998	False
MITF_ASCL1_del	10	216522	0.9999999999999998	False
MITF_ASCL1_change	10	211338	0.9999999999999998	False
MITF_OVOL2_del	10	218641	0.9999999999999998	False
MITF_OVOL2_change	10	199590	0.9999999999999998	False
MITF_TEAD4_del	10	220447	0.9999999999999998	False
MITF_TEAD4_change	10	226869	0.9999999999999998	False
MITF_BHLHE40_del	10	222160	0.9999999999999998	False
MITF_BHLHE40_change	10	212652	0.9999999999999998	False
MITF_TCF4_del	10	336143	0.9999999999999996	False
MITF_TCF4_change	10	309089	0.9999999999999998	False
MITF_KDM5B_del	10	44673	0.9999999999999998	False
MITF_KDM5B_change	10	61725	1.0	False
MITF_KLF4_del	10	59492	1.0	False
MITF_KLF4_change	10	61973	1.0	False
TEAD4_INSM1_del	10	61842	1.0	False
TEAD4_INSM1_change	10	61239	1.0	False
TEAD4_SOX11_del	10	62875	0.9999999999999998	False
TEAD4_SOX11_change	10	66332	0.9999999999999998	False
TEAD4_SOX2_del	10	14143	0.9999999999999998	False
TEAD4_SOX2_change	10	7963	0.9999999999999998	False
TEAD4_BHLHE40_del	10	9101	0.9999999999999998	False
TEAD4_BHLHE40_change	10	10509	1.0	False
TEAD4_TCF3_del	10	18854	0.9999999999999998	False
TEAD4_TCF3_change	10	14081	0.9999999999999998	False
TEAD4_CBFA2T2_del	10	13873	0.9999999999999998	False
TEAD4_CBFA2T2_change	10	13494	1.0	False
TEAD4_KLF4_del	10	11903	1.0	False
TEAD4_KLF4_change	10	11369	0.9999999999999998	False
TCF4_ELF3_del	10	11329	1.0	False
TCF4_ELF3_change	10	10967	1.0	False
TCF4_FOXA1_del	10	24317	1.0	False
TCF4_FOXA1_change	10	641	0.9999999999999998	False
TCF4_SOX2_del	10	786	1.0	False
TCF4_SOX2_change	10	4108	0.9999999999999996	False
TCF4_LEF1_del	10	2592	1.0	False
TCF4_LEF1_change	10	140183	0.9999999999999998	False
TCF4_SMAD3_del	10	138041	1.0	False
TCF4_SMAD3_change	10	130691	0.9999999999999998	False
TCF4_NFKB1_del	10	208127	1.0	False
TCF4_NFKB1_change	10	152374	0.9999999999999998	False
TCF4_FLI1_del	10	217461	0.9999999999999998	False
TCF4_FLI1_change	10	157678	0.9999999999999998	False
TCF4_NEUROD1_del	10	160528	0.9999999999999996	False
TCF4_NEUROD1_change	10	161004	0.9999999999999998	False
TCF4_MYC_del	10	190273	0.9999999999999998	False
TCF4_MYC_change	10	216239	0.9999999999999998	False
TCF4_TCF12_del	10	215270	0.9999999999999998	False
TCF4_TCF12_change	10	206259	0.9999999999999998	False
LEF1_ASCL1_del	10	204485	0.9999999999999998	False
LEF1_ASCL1_change	10	182829	0.9999999999999998	False
LEF1_FLI1_del	10	253959	0.9999999999999998	False
LEF1_FLI1_change	10	258050	0.9999999999999998	False
LEF1_FOXA1_del	10	258396	0.9999999999999998	False
LEF1_FOXA1_change	10	216847	0.9999999999999998	False
LEF1_TEAD4_del	10	236085	0.9999999999999998	False
LEF1_TEAD4_change	10	384547	0.9999999999999998	False
LEF1_POU3F2_del	10	243983	0.9999999999999998	False
LEF1_POU3F2_change	10	230200	0.9999999999999998	False
LEF1_BHLHE40_del	10	236804	0.9999999999999998	False
LEF1_BHLHE40_change	10	234127	0.9999999999999998	False
LEF1_KLF4_del	10	77515	0.9999999999999998	False
LEF1_KLF4_change	10	87105	0.9999999999999998	False
ATF2_OVOL2_del	10	89957	0.9999999999999998	False
ATF2_OVOL2_change	10	90759	0.9999999999999998	False
ATF2_FOXA1_del	10	85305	0.9999999999999998	False
ATF2_FOXA1_change	10	36100	0.9999999999999998	False
ATF2_MITF_del	10	35750	0.9999999999999998	False
ATF2_MITF_change	10	104077	1.0	False
ATF2_PAX5_del	10	98065	1.0	False
ATF2_PAX5_change	10	88888	1.0	False
ATF2_TCF4_del	10	76607	1.0	False
ATF2_TCF4_change	10	76698	1.0	False
ATF2_TCF7L2_del	10	72568	0.9999999999999998	False
ATF2_TCF7L2_change	10	101543	1.0	False
NFKB1_FLI1_del	10	52868	1.0	False
NFKB1_FLI1_change	10	31627	1.0	False
NFKB1_FOXA2_del	10	442881	0.9999999999999998	False
NFKB1_FOXA2_change	10	336560	1.0	False
NFKB1_ELF3_del	10	333577	0.9999999999999998	False
NFKB1_ELF3_change	10	306945	1.0	False
NFKB1_ETS2_del	10	296731	0.9999999999999998	False
NFKB1_ETS2_change	10	295787	0.9999999999999998	False
NFKB1_BHLHE40_del	10	373007	0.9999999999999998	False
NFKB1_BHLHE40_change	10	387387	0.9999999999999998	False
NFKB1_REST_del	10	562066	0.9999999999999998	False
NFKB1_REST_change	10	460474	0.9999999999999998	False
NFKB1_MYB_del	10	462532	0.9999999999999998	False
NFKB1_MYB_change	10	481340	0.9999999999999998	False
NFKB1_TCF7L2_del	10	457675	1.0	False
NFKB1_TCF7L2_change	10	467420	0.9999999999999998	False
NFKB1_TCF3_del	10	464171	0.9999999999999996	False
NFKB1_TCF3_change	10	447071	0.9999999999999998	False
NFKB1_KLF4_del	10	401090	0.9999999999999998	False
NFKB1_KLF4_change	10	420519	0.9999999999999998	False
LEF1_INSM1_del	10	417865	0.9999999999999998	False
LEF1_INSM1_change	10	416239	1.0	False
LEF1_SOX2_del	10	111996	1.0	False
LEF1_SOX2_change	10	118502	1.0	False
LEF1_MITF_del	10	166864	1.0	False
LEF1_MITF_change	10	191197	1.0	False
LEF1_SMAD3_del	10	185577	0.9999999999999998	False
LEF1_SMAD3_change	10	172740	1.0	False
LEF1_NEUROD1_del	10	174083	1.0	False
LEF1_NEUROD1_change	10	173781	0.9999999999999998	False
LEF1_MYB_del	10	166868	1.0	False
LEF1_MYB_change	10	172622	0.9999999999999998	False
LEF1_KDM5B_del	10	115844	1.0	False
LEF1_KDM5B_change	10	105597	0.9999999999999998	False
LEF1_TCF3_del	10	19922	1.0	False
LEF1_TCF3_change	10	1297	0.9999999999999998	False
ETS2_FLI1_del	10	1958	0.9999999999999998	False
ETS2_FLI1_change	10	2190	0.9999999999999998	False
ETS2_MITF_del	10	699	0.9999999999999998	False
ETS2_MITF_change	10	947	0.9999999999999998	False
ETS2_SOX2_del	10	141	0.9999999999999998	False
ETS2_SOX2_change	10	79	0.9999999999999998	False
ETS2_LEF1_del	10	99	0.9999999999999998	False
ETS2_LEF1_change	10	926	0.9999999999999998	False
ETS2_ZEB1_del	10	941	0.9999999999999998	False
